2017-11-17-10-50-16    UserID [0]    Transaction Complete 
2017-11-17-10-50-16    UserID [1]    Transaction Complete 
2017-11-17-10-50-16    UserID [1]    Transaction Complete 
2017-11-17-10-50-16    UserID [0]    Transaction Complete 
2017-11-17-10-50-17    UserID [0]    Transaction Complete 
2017-11-17-10-50-17    UserID [1]    Transaction Complete 
2017-11-17-10-50-17    UserID [0]    Transaction Complete 
2017-11-17-10-50-17    UserID [1]    Transaction Complete 
2017-11-17-10-50-17    UserID [0]    Transaction Complete 
2017-11-17-10-50-17    UserID [1]    Transaction Complete 
2017-11-17-10-50-17    UserID [0]    Transaction Complete 
2017-11-17-10-50-17    UserID [1]    Transaction Complete 
2017-11-17-10-50-18    UserID [0]    Transaction Complete 
2017-11-17-10-50-18    UserID [1]    Transaction Complete 
2017-11-17-10-50-18    UserID [1]    Transaction Complete 
2017-11-17-10-50-18    UserID [0]    Transaction Complete 
2017-11-17-10-50-18    UserID [0]    Transaction Complete 
2017-11-17-10-50-18    UserID [1]    Transaction Complete 
2017-11-17-10-50-19    UserID [0]    Transaction Complete 
2017-11-17-10-50-19    UserID [1]    Transaction Complete 
2017-11-17-10-50-19    UserID [1]    Transaction Complete 
2017-11-17-10-50-19    UserID [0]    Transaction Complete 
2017-11-17-10-50-19    UserID [0]    Transaction Complete 
2017-11-17-10-50-19    UserID [1]    Transaction Complete 
2017-11-17-10-50-19    UserID [0]    Transaction Complete 
2017-11-17-10-50-19    UserID [1]    Transaction Complete 
2017-11-17-10-50-20    UserID [0]    Transaction Complete 
2017-11-17-10-50-20    UserID [1]    Transaction Complete 
2017-11-17-10-50-20    UserID [1]    Transaction Complete 
2017-11-17-10-50-20    UserID [0]    Transaction Complete 
2017-11-17-10-50-20    UserID [1]    Transaction Complete 
2017-11-17-10-50-20    UserID [0]    Transaction Complete 
2017-11-17-10-50-20    UserID [0]    Transaction Complete 
2017-11-17-10-50-21    UserID [1]    Transaction Complete 
2017-11-17-10-50-21    UserID [0]    Transaction Complete 
2017-11-17-10-50-21    UserID [1]    Transaction Complete 
2017-11-17-10-50-21    UserID [1]    Transaction Complete 
2017-11-17-10-50-21    UserID [0]    Transaction Complete 
2017-11-17-10-50-21    UserID [1]    Transaction Complete 
2017-11-17-10-50-21    UserID [0]    Transaction Complete 
2017-11-17-10-50-22    UserID [0]    Transaction Complete 
2017-11-17-10-50-22    UserID [1]    Transaction Complete 
2017-11-17-10-50-22    UserID [1]    Transaction Complete 
2017-11-17-10-50-22    UserID [0]    Transaction Complete 
2017-11-17-10-50-22    UserID [1]    Transaction Complete 
2017-11-17-10-50-22    UserID [0]    Transaction Complete 
2017-11-17-10-50-23    UserID [0]    Transaction Complete 
2017-11-17-10-50-23    UserID [1]    Transaction Complete 
2017-11-17-10-50-23    UserID [1]    Transaction Complete 
2017-11-17-10-50-23    UserID [0]    Transaction Complete 
2017-11-17-10-50-23    UserID [1]    Transaction Complete 
2017-11-17-10-50-23    UserID [0]    Transaction Complete 
2017-11-17-10-50-23    UserID [0]    Transaction Complete 
2017-11-17-10-50-23    UserID [1]    Transaction Complete 
2017-11-17-10-50-24    UserID [0]    Transaction Complete 
2017-11-17-10-50-24    UserID [1]    Transaction Complete 
2017-11-17-10-50-24    UserID [1]    Transaction Complete 
2017-11-17-10-50-24    UserID [0]    Transaction Complete 
2017-11-17-10-50-24    UserID [1]    Transaction Complete 
2017-11-17-10-50-24    UserID [0]    Transaction Complete 
2017-11-17-10-50-25    UserID [1]    Transaction Complete 
2017-11-17-10-50-25    UserID [0]    Transaction Complete 
2017-11-17-10-50-25    UserID [0]    Transaction Complete 
2017-11-17-10-50-25    UserID [1]    Transaction Complete 
2017-11-17-10-50-25    UserID [0]    Transaction Complete 
2017-11-17-10-50-25    UserID [1]    Transaction Complete 
2017-11-17-10-50-25    UserID [1]    Transaction Complete 
2017-11-17-10-50-25    UserID [0]    Transaction Complete 
2017-11-17-10-50-26    UserID [1]    Transaction Complete 
2017-11-17-10-50-26    UserID [0]    Transaction Complete 
